Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_link,4.06758537265656E-06,0.000820071186987414,-0.0130892456746474,0,0,0,0.650642071200738,0.000702785587982822,3.10268003525812E-12,-1.39769952404109E-08,0.000575707963375727,3.49464208277368E-05,0.00038021356021992,0,0,0,0,0,0,package://husky_reduced/meshes/body_link.STL,1,1,1,1,0,0,0,0,0,0,package://husky_reduced/meshes/body_link.STL,,Back Bone Assembly V4-1/Back Bone-Front-Assembly-1/Back Bone-Front-Carbon Fiber Plate-2;Back Bone Assembly V4-1/Back Bone-Front-Assembly-1/Back Bone-Front-Carbon Fiber Plate-3;Back Bone Assembly V4-1/Back Bone-Front-Assembly-1/Back Bone-Connector Between Tube and Frame V2-1;Back Bone Assembly V4-1/Back Bone- Connecting Tube-2;Back Bone Assembly V4-1/Back Bone-Front-Assembly-1/Back Bone-Connector Between Tube and Frame V2-2;Back Bone Assembly V4-1/Back Bone- Connecting Tube-1;Back Bone Assembly V4-1/Back Bone-Back-Assembly-1/Back Bone-Connector Between Tube and Frame V2-2;Back Bone Assembly V4-1/Back Bone-Back-Assembly-1/Back Bone-Connector Between Tube and Frame V2-1;Back Bone Assembly V4-1/Back Bone-Back-Assembly-1/Back Bone-Back- Carbon Fiber Plate-2;Back Bone Assembly V4-1/Back Bone-Back-Assembly-1/Back Bone-Back- Carbon Fiber Plate-1;Back Bone Assembly V4-1/Back Bone-Back-Assembly-1/Back Bone-Connector Between Bracket and Frame-Back-1;Back Bone Assembly V4-1/Back Bone-Front-Assembly-1/Back Bone-Connector Between Bracket and Frame-Front-1;Lower-Body-Assembly-Front-1/Lower-Body-Assembly-Bracket-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Full Drive Assembly V2 - hip articulation-5/Housing V2 - Top-Knee&Hip-Drive-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Full Drive Assembly V2 - hip articulation-5/Housing V2 - Bottom2-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Full Drive Assembly V2 - hip articulation-5/Housing V2 - Bottom1-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-B-1/Full Drive Assembly V2 - hip articulation-5/Housing V2 - Bottom2-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-B-1/Full Drive Assembly V2 - hip articulation-5/Housing V2 - Bottom1-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-B-1/Full Drive Assembly V2 - hip articulation-5/Housing V2 - Top-Knee&Hip-Drive-1;Lower-Body-Assembly-Back-1/Full-Leg-Assembly-B-1/Full Drive Assembly V2 - hip articulation-5/Housing V2 - Bottom2-1;Lower-Body-Assembly-Back-1/Full-Leg-Assembly-B-1/Full Drive Assembly V2 - hip articulation-5/Housing V2 - Top-Knee&Hip-Drive-1;Lower-Body-Assembly-Back-1/Full-Leg-Assembly-B-1/Full Drive Assembly V2 - hip articulation-5/Housing V2 - Bottom1-1;Lower-Body-Assembly-Back-1/Full-Leg-Assembly-A-1/Full Drive Assembly V2 - hip articulation-5/Housing V2 - Top-Knee&Hip-Drive-1;Lower-Body-Assembly-Back-1/Full-Leg-Assembly-A-1/Full Drive Assembly V2 - hip articulation-5/Housing V2 - Bottom1-1;Lower-Body-Assembly-Back-1/Full-Leg-Assembly-A-1/Full Drive Assembly V2 - hip articulation-5/Housing V2 - Bottom2-1;Lower-Body-Assembly-Back-1/lower-body-connecting-rod-1;Lower-Body-Assembly-Back-1/Lower-Body-Assembly-Bracket-1;Lower-Body-Assembly-Back-1/Full-Leg-Assembly-A-1/Full Drive Assembly V2 - hip articulation-5/AST_Bearings_6706-2RS-1;Lower-Body-Assembly-Back-1/Full-Leg-Assembly-B-1/Full Drive Assembly V2 - hip articulation-5/AST_Bearings_6706-2RS-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Full Drive Assembly V2 - hip articulation-5/AST_Bearings_6706-2RS-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-B-1/Full Drive Assembly V2 - hip articulation-5/AST_Bearings_6706-2RS-1,Global Coordinate System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_hip,0.0235659416192397,-5.02975094754526E-05,-0.00302882523131529,0,0,0,0.043087821298853,9.96889081166613E-06,7.48752042250553E-08,-2.39318971572093E-06,2.495443482671E-05,5.09645733504537E-09,2.81283771269796E-05,0,0,0,0,0,0,package://husky_reduced/meshes/fr_hip.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://husky_reduced/meshes/fr_hip.STL,,Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Hip articulation coupling-2;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Full Drive Assembly V2 - hip articulation-5/Flange 3 Drive to Leg Connection-1,Origin FR Hip Frontal,fr_hip_frontal,fr_hip_frontal,revolute,0.045,0.2087,6.7316E-05,1.5708,-0.0089958,0,body_link,0,0,1,1000,1000,-3.1416,3.1416,,,,,,,,
fr_femur,0.0977320131555891,0.000213425452149169,0.0151762014845763,0,0,0,0.141836258887396,2.7823052910979E-05,4.29443317670773E-09,-1.68703794772547E-09,4.88420495545191E-05,2.55345263711604E-07,6.72264489194492E-05,0,0,0,0,0,0,package://husky_reduced/meshes/fr_femur.STL,1,0,1,1,0,0,0,0,0,0,package://husky_reduced/meshes/fr_femur.STL,,Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Full Drive Assembly_middle-4/Housing V2 - Top-Middle-Drive-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Full Drive Assembly_middle-4/Housing V2 - Bottom2-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Full Drive Assembly_middle-4/Housing V2 - Bottom1-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/connecting tube of two drives-2;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Full Drive Assembly V2-5/Housing V2 - Bottom1-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Full Drive Assembly V2-5/Housing V2 - Bottom2-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Full Drive Assembly V2-5/Housing V2 - Top-Knee&Hip-Drive-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Knee Clamp-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Knee Clamp Bushing-1,Origin FR Hip Sagittal,fr_hip_sagittal,fr_hip_sagittal,revolute,0.103120000000001,0,0,1.58460354760444,0.709564137847273,-1.5707963267949,fr_hip,0,0.0138067821138013,0.999904681841055,1000,1000,-3.141567,3.141567,,,,,,,,
fr_tibia,0.108667402573553,1.03670573461945E-05,-0.00287570362838266,0,0,0,0.0478195851341902,8.45826029568533E-06,9.485425634069E-10,-1.28983370549278E-06,4.69251077636551E-05,-1.94160829243736E-09,5.27944193001364E-05,0,0,0,0,0,0,package://husky_reduced/meshes/fr_tibia.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://husky_reduced/meshes/fr_tibia.STL,,Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Flange Leg Mount-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Ctrl-link-3-v1-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/joint-C-v1-A-1/part-D-v2-2-1,Origin FR Knee,FR Knee,fr_knee,revolute,0.179999999999999,0.000595348444745458,0.0431158898809868,3.13857993756883,0.013474547784072,1.35082136703004,fr_femur,0,0,-1,1000,1000,-3.1416,3.1416,,,,,,,,
fr_fibula,0.170112072730515,-3.34118677169926E-10,-6.135396598686E-05,0,0,0,0.0286089978267731,1.22504250160217E-06,-2.3511926483844E-13,-4.49710595129967E-08,4.02627508345098E-05,2.05500068305621E-14,4.07891301279069E-05,0,0,0,0,0,0,package://husky_reduced/meshes/fr_fibula.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://husky_reduced/meshes/fr_fibula.STL,,Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/part-D-v2-3-2;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/link-2-v1-2-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/joint-C-v1-A-1/part-D-v2-2-2;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/Knee Clamp Shaft-1,Origin FR Control Rod,FR Control Rod,fr_control_rod,revolute,-0.0130911226541172,-0.0585544405459958,0,0,0,0.00228072916830797,fr_tibia,0,0,-1,1000,1000,-3.1416,3.1416,,,,,,,,
fr_ankle1,0.0527701413832593,5.98786159544673E-09,-3.07167094537597E-09,0,0,0,0.0716006134744626,9.73912821038023E-06,9.99833576307028E-12,-6.12733558966033E-12,4.80541438877769E-05,-2.52914459536402E-08,4.65434271131211E-05,0,0,0,0,0,0,package://husky_reduced/meshes/fr_ankle1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://husky_reduced/meshes/fr_ankle1.STL,,Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/foot_QP_Midget-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/link-3-v1-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-A-1/joint-C-v1-A-1/part-E-v2-1,Origin FR Ankle,FR Ankle,fr_ankle1,revolute,0.332999999999978,0,0,0.0147095738050274,0,1.29927256648305,fr_tibia,0,-0.0147090433551884,-0.999891816169917,1000,1000,-3.1416,3.1416,,,,,,,,
fr_ankle2,-0.224970144154674,-0.119496481614588,0.107752872540895,0,0,0,3.4117926060449,0.132390950530739,0.0300065489205117,-0.000485346364216506,0.113303808612399,0.00126097874247467,0.18549038096709,0,0,0,0,0,0,package://husky_reduced/meshes/fr_ankle2.STL,1,1,1,1,0,0,0,0,0,0,package://husky_reduced/meshes/fr_ankle2.STL,,,origin_fr_ankle2,fr_ankle2,fr_ankle2,revolute,0.316908019061522,-0.0578018005729246,0,-3.12688307978477,0,1.29927256648305,fr_tibia,0,-0.0147090433551893,-0.999891816169917,1000,1000,-3.1416,3.1416,,,,,,,,
fl_hip,0.0282493684612892,-6.02933629341613E-05,-0.00254584522661777,0,0,0,0.0359443463061796,9.43685191828271E-06,7.37780811237925E-08,-2.39318969539326E-06,2.44222430667982E-05,5.0964428440272E-09,2.70762020706881E-05,0,0,0,0,0,0,package://husky_reduced/meshes/fl_hip.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://husky_reduced/meshes/fl_hip.STL,,Lower-Body-Assembly-Front-1/Full-Leg-Assembly-B-1/Hip articulation coupling-2,Origin FL Hip Frontal,FL Hip Frontal,fl_hip_frontal,revolute,-0.045,0.2087,6.7316E-05,-1.5708,0.0041099,-3.1416,body_link,0,0,1,1000,1000,-3.1416,3.1416,,,,,,,,
fl_femur,0.097735664566592,-8.86668196140028E-05,-0.0151774442732597,0,0,0,0.141836241024003,2.78209084130127E-05,-6.86050485994064E-09,-2.10349354351967E-10,4.88413151042281E-05,1.11126612612072E-07,6.72293195789235E-05,0,0,0,0,0,0,package://husky_reduced/meshes/fl_femur.STL,1,0,1,1,0,0,0,0,0,0,package://husky_reduced/meshes/fl_femur.STL,,Lower-Body-Assembly-Front-1/Full-Leg-Assembly-B-1/Full Drive Assembly_middle-4/Housing V2 - Top-Middle-Drive-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-B-1/Full Drive Assembly_middle-4/Housing V2 - Bottom2-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-B-1/Full Drive Assembly_middle-4/Housing V2 - Bottom1-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-B-1/connecting tube of two drives-2;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-B-1/Full Drive Assembly V2-5/Housing V2 - Bottom1-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-B-1/Full Drive Assembly V2-5/Housing V2 - Bottom2-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-B-1/Full Drive Assembly V2-5/Housing V2 - Top-Knee&Hip-Drive-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-B-1/Knee Clamp Assembly-1/Knee Clamp-1;Lower-Body-Assembly-Front-1/Full-Leg-Assembly-B-1/Knee Clamp Assembly-1/Knee Clamp Bushing-1,Origin FL Hip Sagittal,fl_hip_sagittal,fl_hip_sagittal,revolute,0.10311999999997,0,0,1.57704053014338,0.718419414164997,1.5707963267949,fl_hip,0,-0.0062441627715668,-0.999980505025614,1000,1000,-3.141567,3.141567,,,,,,,,
